title,seasons_count,episodes_count,ratings,vote_count,popularity,original_language,overview,genres,production_details,air_years,cast,keywords,imdb_id,networks,country_of_origin
Maniac,1,10,7.6,90000,684.0,English,"Two strangers are drawn to a mysterious pharmaceutical trial that will, they're assured, with no complications or side-effects whatsoever, solve all of their problems, permanently. Things do not go as planned.","Comedy, Drama, Sci-Fi & Fantasy","Anonymous Content, Paramount Television Studios",2018-2018,"Emma Stone: Annie Landsberg, Jonah Hill: Owen Milgrim, Sonoya Mizuno: Dr. Azumi Fujita, Justin Theroux: Dr. James K. Mantleray, Sally Field: Dr. Greta Mantleray, Kathleen Choe: 3, Danny Hoch: 5, Allyce Beasley: 11, Stephen Hill: 7, James Monroe Iglehart: Carl","program, test, threaten destroy, run test, giant, draw, course, complication, part, unknown, plan, sign, danger, solve, memory, present, trial, drug, dream, problem, destroy, threaten, reveal, thing, grantss, mysterious, go, run",tt5580146,Netflix,United States
The Strain,4,46,7.3,90000,657.0,English,"A high concept thriller that tells the story of Dr. Ephraim Goodweather, the head of the Center for Disease Control Canary Team in New York City. He and his team are called upon to investigate a mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism. As the strain spreads, Eph, his team, and an assembly of everyday New Yorkers, wage war for the fate of humanity itself.","Sci-Fi & Fantasy, Drama, Mystery",Mirada; The Strain (franchise),2014-2017,"Corey Stoll: Ephraim Goodweather, David Bradley: Abraham Setrakian, Kevin Durand: Vasiliy Fet, Jonathan Hyde: Eldritch Palmer …, Richard Sammel: Thomas Eichorst …, Miguel Gomez: Augustin 'Gus' Elizalde, Ruta Gedmintas: Dutch Velders, Natalie Brown: Kelly Goodweather, Max Charles: Zach Goodweather, Robin Atkin Downes: The Master","crew, stop, city, begin, know, go, way, plane, professor, spanish, communication, board, brew, infect, time come, window, street, cold, quiet, response, battle, fighter, pull, ground, find, light, answer, investigate, survivor, virus, lose, arrive, find way, son, york, new york, late, happen, head, include, get, join, name, wife, team, make, war, save, come, run",tt2654620,FX,"United States, Mexico"
Code Geass: Lelouch of the Rebellion,2,50,8.7,90000,783.0,Japanese,"Japan has been invaded and conquered by the Britannian Empire. Japan is now known as Area 11 and its citizens known as Elevens. The Britannian Empire takes away Japan's autonomous power and imposes its rule through the use of Knightmares. The Empire's rule has never faltered, but cracks have begun to show...","Animation, Sci-Fi & Fantasy, Action & Adventure, Drama","SUNRISE, Bandai Visual, Hakuhodo DY Media Partners, MBS, Project Geass, Bandai Namco Entertainment",2006-2008,"Jun Fukuyama: Lelouch Lamperouge …, Takahiro Sakurai: Suzaku Kururugi …, Johnny Yong Bosch: Lelouch Lamperouge, Yukana: C.C. …, Ami Koshimizu: Kallen Stadtfeld …, Yuri Lowenthal: Suzaku Kururugi …, Kate Higgins: C.C. …, Karen Strassman: Kallen Stadtfeld, Brian Beacock: Rivalz Cardemonde, Noriaki Sugiyama: Rivalz Cardemonde …","empire, japan, childhood, ability, power, thirst, childhood friend, harbor, area, invasion, life death, accept, terrorist, offer, newfound, revenge, action, attack, catch, situation, local, country, meet, destroy, order, attempt, girl, student, death, mysterious, war, go, family, young, friend, live, life",tt0994314,MBS,Japan
Blue Eye Samurai,2,9,8.7,90000,783.0,English,"Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.Driven by a dream of revenge against those who made her an outcast in Edo-period Japan, a young warrior cuts a bloody path toward her destiny.","Adult Animation, Period Drama, Samurai, Action, Adventure, Animation, Drama, History, Thriller","3 Arts Entertainment, Blue Spirit Animation, Netflix Animation",2023,"Maya Erskine: Mizu, George Takei: Seki, Masi Oka: Ringo …, Brenda Song: Akemi, Darren Barnet: Taigen …, Randall Park: Heiji Shindo, Kenneth Branagh: Abijah Fowler, Cary-Hiroyuki Tagawa: The Swordmaker, Gedde Watanabe: Chiba …, Patrick Gallagher: Daichi …","young warrior, period, destiny, japan, outcast, bloody, path, warrior, drive, cut, revenge, dream, young",tt13309742,,United States
Tiger King,2,13,7.5,89000,667.5,English,A zoo owner spirals out of control amid a cast of eccentric characters in this true murder-for-hire story from the underworld of big cat breeding.,"Documentary, Crime",Goode Films,2020-2021,"Joe Exotic: Self - G.W. Zoo, Carole Baskin: Self - Big Cat Rescue, Jeff Lowe: Self - Businessman, John Reinke: Self - Manager, G.W. Zoo, Howard Baskin: Self - Big Cat Rescue, Erik Cowie: Self - Head Keeper, G.W. Zoo, Allen Glover: Self - 'Hitman' …, Tim Stark: Self - Wildlife in Need, Eric Goode: Self - Filmmaker, Bhagavan Antle: Self - Myrtle Beach Safari","joe, big, owner, animal, dangerous, rivalry, dark turn, lead, hire, cult, dark, include, thing, turn, murder, advocate, twisted, arrest, business, cult leader, massive, personality, western, share, claim, cast, path, fiction, large, strange, boss, netflix, tale, park, stand, catch, country, drug, leader, threaten, reveal, grantss, take, run, world, life",tt11823076,Netflix,United States
Bosch,7,68,8.5,89000,756.5,English,"Based on Michael Connelly's best-selling novels, these are the stories of relentless LAPD homicide Detective Harry Bosch who pursues justice at all costs. But behind his tireless momentum is a man who is haunted by his past and struggles to remain loyal to his personal code: “Everybody counts or nobody counts.”","Mystery, Drama, Crime","Hieronymus Pictures, Fabrik Entertainment, Amazon Studios",2015-2021,"Titus Welliver: Harry Bosch, Jamie Hector: Jerry Edgar, Amy Aquino: Lt. Grace Billets, Lance Reddick: Irvin Irving, Madison Lintz: Maddie Bosch, Troy Evans: Detective Johnson …, DaJuan Johnson: Detective Rondell Pierce …, Gregory Scott Cummins: Detective Moore (Crate) …, Scott Klace: Sgt. John Mankiewicz …, Mimi Rogers: Honey Chandler","solve, detective, get, murder, old, work, gather, evidence, serial, serial killer, solve murder, court, harry, line, determined, stand, killer, trouble, party, trial, police, case, look, small, boy, grantss, year old, lead, come, make, way, follow, good, year",tt3502248,Prime Video,United States
When the Phone Rings,1,12,5.7,89000,507.3,Korean,"Baek Sa Eon, a former presidential spokesman, marries Hong Hui Ju, a mute newspaper heiress, in an arranged union. When Hui Ju is kidnapped, their distant relationship is challenged as they ... Read allBaek Sa Eon, a former presidential spokesman, marries Hong Hui Ju, a mute newspaper heiress, in an arranged union. When Hui Ju is kidnapped, their distant relationship is challenged as they navigate the crisis.Baek Sa Eon, a former presidential spokesman, marries Hong Hui Ju, a mute newspaper heiress, in an arranged union. When Hui Ju is kidnapped, their distant relationship is challenged as they navigate the crisis.","Drama, Mystery, Romance, Thriller",Munhwa Broadcasting Company,2024,"Yoo Yeon-seok: Baek Sa-eon, Chae Soo-bin: Hong Hee-joo, Heo Nam-jun: Ji Sang-woo, Jang Gyu-ri: Na Yoo-ri, Im Chul-soo: Kang Yeong-woo, Choi Kwang-il: Hong Il-kyeong, Oh Hyun-kyung: Kim Yeon-hee, Yoo Seong-ju: Baek Eui-yong, Jung Dong-hwan: Baek Jang-ho, Han Jae-yi: Hong In-ah","union, presidential, arranged, heiress, crisis, kidnap, relationship, distant, challenge, navigate",tt33503491,,South Korea
Castlevania,4,32,8.3,88000,730.4,English,"A dark medieval fantasy following the last surviving member of the disgraced Belmont clan, trying to save Eastern Europe from extinction at the hand of Vlad Dracula Tepe himself. Inspired by the classic video game series.","Animation, Sci-Fi & Fantasy","Frederator Studios, Powerhouse Animation Studios, Shankar Animation, Project 51 Productions",2017-2021,"Richard Armitage: Trevor Belmont, James Callis: Alucard, Alejandra Reynoso: Sypha Belnades, Theo James: Hector, Adetokumboh M'Cormack: Isaac, Jaime Murray: Carmilla, Graham McTavish: Dracula, Emily Swallow: Lisa Tepes, Jessica Brown Findlay: Lenore, Yasmine Al Massri: Morana","army, creature, fight, murderous, witchcraft, trevor, unleash, declare, declare war, bishop, agree, hunter, ricky, demonic, hell, kind, vampire, burn, hunt, accuse, monster, survivor, control, town, city, wife, war, save, know, people, family",tt6517102,Netflix,United States
Never Have I Ever,4,40,7.8,87000,678.6,English,"After a traumatic year, all an Indian-American teen wants is to go from pariah to popular -- but friends, family and feeling won't make it easy on her.","Comedy, Drama","Kaling International, Universal Television",2020-2023,"Maitreyi Ramakrishnan: Devi Vishwakumar, Poorna Jagannathan: Nalini Vishwakumar, Darren Barnet: Paxton Hall-Yoshida, John McEnroe: John McEnroe …, Jaren Lewison: Ben Gross, Lee Rodriguez: Fabiola Torres, Richa Moorjani: Kamala, Ramona Young: Eleanor Wong, Benjamin Norris: Trent Harrison, Adam Shapiro: Mr. Shapiro","childhood, generation, crush, complicated, angeles take, american, angeles, los, pursue, los angeles, teenage, teen, inspire, self, base, loss, high school, true, school, girl, discover, high, take, father, live, year, life",tt10062292,Netflix,United States
Queen Cleopatra,1,4,1.2,87000,104.4,English,"As Egypt's last pharaoh, Cleopatra fights to protect her throne, family and legacy in this docuseries featuring reenactments and expert interviews.","Documentary, Drama","Westbrook Studios, Nutopia",2023-2023,"Jada Pinkett Smith: Narrator, Adele James: Cleopatra, Craig Russell: Mark Antony, John Partridge: Julius Caesar, Andira Crichlow: Arsinoe, Kaysha Woollery: Charmian, Laya Lewis: Eiras, Callum Balmforth: Ptolemy XIII, Louis Emerick: Ptolemy Auletes, Phillip E. Walker: Pasharenptah","year, rule, queen, suicide, netflix, end",tt27528139,Netflix,United Kingdom
The Peripheral,1,8,7.5,87000,652.5,English,"Stuck in a small Appalachian town, a young woman’s only escape from the daily grind is playing advanced video games. She is such a good player that a company sends her a new video game system to test…but it has a surprise in store. It unlocks all of her dreams of finding a purpose, romance, and glamour in what seems like a game…but it also puts her and her family in real danger.","Sci-Fi & Fantasy, Drama","Kilter Films, Amazon Studios, Warner Bros. Television",2022-2022,"Chloë Grace Moretz: Flynne Fisher, Gary Carr: Wilf Netherton, Jack Reynor: Burton Fisher, JJ Feild: Lev Zubov, T'Nia Miller: Cherise Nuland, Louis Herthum: Corbell Pickett, Katie Leung: Ash, Melinda Page Hamilton: Ella Fisher, Chris Coy: Jasper Baker, Alex Hernandez: Tommy Constantine","game, video, future, woman, connection, young woman, store, system, alter, daily, alternate reality, alternate, danger, discover secret, reality, test, company, stick, player, society, put, real, play, dream, send, dark, small, town, discover, secret, family, young, set, good, new, find",tt8291284,Prime Video,United States
The Watcher,1,7,6.5,87000,565.5,English,"A family moves into their suburban dream home, only to discover they've inherited a nightmare.","Drama, Mystery",Ryan Murphy Productions,2022-2022,"Naomi Watts: Nora Brannock, Bobby Cannavale: Dean Brannock, Mia Farrow: Pearl Winslow, Terry Kinney: Jasper Winslow, Henry Hunter Hall: Dakota, Isabel Gravitt: Ellie Brannock, Luke David Blumm: Carter Brannock, Jennifer Coolidge: Karen Calhoun, Christopher McDonald: Detective Rourke Chamberland, Luis Castro de Leon: The Watcher","married couple, couple, sign, married, dream, move, threaten, home",tt14852808,Netflix,United States
Heartstopper,3,17,8.5,86000,731.0,English,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,Drama,See-Saw Films,2022-2023,"Kit Connor: Nick Nelson, Joe Locke: Charlie Spring, William Gao: Tao Xu, Yasmin Finney: Elle Argent, Tobie Donovan: Isaac Henderson, Corinna Brown: Tara Jones, Kizzy Edgell: Darcy Olsson, Rhea Norwood: Imogen Heaney, Jenny Walser: Tori Spring, Ashwin Vishwanath: Sai Verma","nick, sit, gay, chance, friendship, interested, string, class, day, love, believe, player, realize, school, high, way, work, nelson, love friendship, spring, think, teen, loyalty, fall, large, attend, meet, small, boy, friend, live",tt10638036,Netflix,United Kingdom
Carnival Row,2,18,7.7,86000,662.2,English,"In a mystical and dark city filled with humans, fairies and other creatures, a police detective investigates a series of gruesome murders leveled against the fairy population. During his investigation, the detective becomes the prime suspect and must find the real killer to clear his name.",Sci-Fi & Fantasy,"Amazon Studios, Legendary Television, CrimeThink, Siesta Productions",2019-2023,"Orlando Bloom: Rycroft Philostrate, Cara Delevingne: Vignette Stonemoss, Simon McBurney: Runyan Millworthy, Tamzin Merchant: Imogen Spurnrose, David Gyasi: Agreus Astrayon, Karla Crome: Tourmaline Larou, Jamie Harris: Sergeant Dombey, Andrew Gower: Ezra Spurnrose, Arty Froushan: Jonah Breakspear, Ariyon Bakare: Darius","uneasy, string, immigrant, fantasy, row, human, peace, affair, monster, detective, dangerous, reveal, city, murder, live, world, harbor, fly, fill, rich, freedom, empire, population, darkness, grow, star, society, stand, investigate, creature, hope, case, threaten, struggle, secret, name, love, man",tt0489974,Prime Video,United States
